Issue_ID,Employee_ID,Issue_Type,Source_System,Severity,Issue_Status,Detected_Date,Recommended_Action
DQ00229,E02409,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00230,E02416,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00231,E02428,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00232,E02433,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00233,E02435,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00234,E02452,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00235,E02461,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00236,E02472,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00237,E02486,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00238,E02499,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00239,E02504,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00240,E02528,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00241,E02556,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00242,E02577,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00243,E02626,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00244,E02637,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00245,E02647,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00246,E02695,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00247,E02702,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00248,E02734,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00249,E02737,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00250,E02739,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00251,E02766,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00252,E02783,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00253,E02789,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00254,E02790,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00255,E02792,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00256,E02799,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00257,E02804,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00258,E02806,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00259,E02837,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00260,E02844,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00261,E02863,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00262,E02907,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00263,E02914,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00264,E02928,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00265,E02939,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00266,E02980,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
DQ00267,E02986,Active Training Assigned To Terminated Employee,Saba,Medium,Open,2026-08-13,Review workforce status and deactivate unnecessary LMS assignments
